date,Experimental Plot,Lysimeter,Percolation (mm/day)
2018-11-21,E1,Lysimeter 2,0.0
2018-11-22,E1,Lysimeter 2,0.0
2018-11-23,E1,Lysimeter 2,0.0
2018-11-24,E1,Lysimeter 2,0.0
2018-11-25,E1,Lysimeter 2,0.0
2018-11-26,E1,Lysimeter 2,1.70625
2018-11-27,E1,Lysimeter 2,0.825
2018-11-28,E1,Lysimeter 2,0.0
2018-11-29,E1,Lysimeter 2,0.0
2018-11-30,E1,Lysimeter 2,0.0
2018-12-01,E1,Lysimeter 2,0.0
2018-12-02,E1,Lysimeter 2,0.0
2018-12-03,E1,Lysimeter 2,0.0
2018-12-04,E1,Lysimeter 2,0.0
2018-12-05,E1,Lysimeter 2,0.0
2018-12-06,E1,Lysimeter 2,0.0
2018-12-07,E1,Lysimeter 2,0.0
2018-12-08,E1,Lysimeter 2,0.0
2018-12-09,E1,Lysimeter 2,0.0
2018-12-10,E1,Lysimeter 2,0.0
2018-12-11,E1,Lysimeter 2,0.0
2018-12-12,E1,Lysimeter 2,0.0
2018-12-13,E1,Lysimeter 2,0.0
2018-12-14,E1,Lysimeter 2,0.0
2018-12-15,E1,Lysimeter 2,0.0
2018-12-16,E1,Lysimeter 2,0.0
2018-12-17,E1,Lysimeter 2,0.0
2018-12-18,E1,Lysimeter 2,0.0
2018-12-19,E1,Lysimeter 2,0.0
2018-12-20,E1,Lysimeter 2,0.0
2018-12-21,E1,Lysimeter 2,5.075
2018-12-22,E1,Lysimeter 2,1.375
2018-12-23,E1,Lysimeter 2,0.0
2018-12-24,E1,Lysimeter 2,0.0
2018-12-25,E1,Lysimeter 2,0.0
2018-12-26,E1,Lysimeter 2,0.0
2018-12-27,E1,Lysimeter 2,0.0
2018-12-28,E1,Lysimeter 2,0.0
2018-12-29,E1,Lysimeter 2,0.0
2018-12-30,E1,Lysimeter 2,0.0
2018-12-31,E1,Lysimeter 2,0.0
2019-01-01,E1,Lysimeter 2,0.0
2019-01-02,E1,Lysimeter 2,0.0
2019-01-03,E1,Lysimeter 2,0.0
2019-01-04,E1,Lysimeter 2,0.0
2019-01-05,E1,Lysimeter 2,0.0
2019-01-06,E1,Lysimeter 2,0.0
2019-01-07,E1,Lysimeter 2,0.0
2019-01-08,E1,Lysimeter 2,0.0
2019-01-09,E1,Lysimeter 2,0.0
2019-01-10,E1,Lysimeter 2,0.0
2019-01-11,E1,Lysimeter 2,0.0
2019-01-12,E1,Lysimeter 2,0.0
2019-01-13,E1,Lysimeter 2,0.0
2019-01-14,E1,Lysimeter 2,0.0
2019-01-15,E1,Lysimeter 2,0.0
2019-01-16,E1,Lysimeter 2,0.0
2019-01-17,E1,Lysimeter 2,0.0
2019-01-18,E1,Lysimeter 2,0.0
2019-01-19,E1,Lysimeter 2,0.0
2019-01-20,E1,Lysimeter 2,0.0
2019-01-21,E1,Lysimeter 2,0.0
2019-01-22,E1,Lysimeter 2,0.0
2019-01-23,E1,Lysimeter 2,0.0
2019-01-24,E1,Lysimeter 2,0.0
2019-01-25,E1,Lysimeter 2,0.0
2019-01-26,E1,Lysimeter 2,0.0
2019-01-27,E1,Lysimeter 2,0.0
2019-01-28,E1,Lysimeter 2,0.0
2019-01-29,E1,Lysimeter 2,0.0
2019-01-30,E1,Lysimeter 2,0.0
2019-01-31,E1,Lysimeter 2,0.0
2019-02-01,E1,Lysimeter 2,0.0
2019-02-02,E1,Lysimeter 2,0.0
2019-02-03,E1,Lysimeter 2,0.0
2019-02-04,E1,Lysimeter 2,0.0
2019-02-05,E1,Lysimeter 2,0.0
2019-02-06,E1,Lysimeter 2,0.0
2019-02-07,E1,Lysimeter 2,0.0
2019-02-08,E1,Lysimeter 2,0.0
2019-02-09,E1,Lysimeter 2,0.0
2019-02-10,E1,Lysimeter 2,0.0
2019-02-11,E1,Lysimeter 2,0.0
2019-02-12,E1,Lysimeter 2,0.0
2019-02-13,E1,Lysimeter 2,0.0
2019-02-14,E1,Lysimeter 2,0.0
2019-02-15,E1,Lysimeter 2,0.0
2019-02-16,E1,Lysimeter 2,0.0
2019-02-17,E1,Lysimeter 2,0.0
2019-02-18,E1,Lysimeter 2,0.0
2019-02-19,E1,Lysimeter 2,0.0
2019-02-20,E1,Lysimeter 2,0.0
2019-02-21,E1,Lysimeter 2,0.0
2019-02-22,E1,Lysimeter 2,0.0
2019-02-23,E1,Lysimeter 2,0.0
2019-02-24,E1,Lysimeter 2,0.0
2019-02-25,E1,Lysimeter 2,0.0
2019-02-26,E1,Lysimeter 2,0.0
2019-02-27,E1,Lysimeter 2,0.0
2019-02-28,E1,Lysimeter 2,0.0
2019-03-01,E1,Lysimeter 2,0.0
2019-03-02,E1,Lysimeter 2,0.0
2019-03-03,E1,Lysimeter 2,0.0
2019-03-04,E1,Lysimeter 2,0.0
2019-03-05,E1,Lysimeter 2,0.0
2019-03-06,E1,Lysimeter 2,0.0
2019-03-07,E1,Lysimeter 2,0.0
2019-03-08,E1,Lysimeter 2,0.0
2019-03-09,E1,Lysimeter 2,0.0
2019-03-10,E1,Lysimeter 2,0.0
2019-03-11,E1,Lysimeter 2,0.0
2019-03-12,E1,Lysimeter 2,0.0
2019-03-13,E1,Lysimeter 2,0.0
2019-03-14,E1,Lysimeter 2,0.0
2019-03-15,E1,Lysimeter 2,0.0
2019-03-16,E1,Lysimeter 2,0.0
2019-03-17,E1,Lysimeter 2,0.0
2019-03-18,E1,Lysimeter 2,0.0
2019-03-19,E1,Lysimeter 2,0.0
2019-03-20,E1,Lysimeter 2,0.0
2019-03-21,E1,Lysimeter 2,0.0
2019-03-22,E1,Lysimeter 2,0.0
2019-03-23,E1,Lysimeter 2,0.0
2019-03-24,E1,Lysimeter 2,0.0
2019-03-25,E1,Lysimeter 2,0.0
2019-03-26,E1,Lysimeter 2,0.0
2019-03-27,E1,Lysimeter 2,0.0
2019-03-28,E1,Lysimeter 2,0.0
2019-03-29,E1,Lysimeter 2,0.0
2019-03-30,E1,Lysimeter 2,0.0
2019-03-31,E1,Lysimeter 2,0.0
2019-04-01,E1,Lysimeter 2,
2019-04-02,E1,Lysimeter 2,0.0
2019-04-03,E1,Lysimeter 2,0.18125
2019-04-04,E1,Lysimeter 2,0.0
2019-04-05,E1,Lysimeter 2,0.0
2019-04-06,E1,Lysimeter 2,0.0
2019-04-07,E1,Lysimeter 2,0.0
2019-04-08,E1,Lysimeter 2,0.0
2019-04-09,E1,Lysimeter 2,0.0
2019-04-10,E1,Lysimeter 2,0.0
2019-04-11,E1,Lysimeter 2,0.0
2019-04-12,E1,Lysimeter 2,0.00625
2019-04-13,E1,Lysimeter 2,0.0
2019-04-14,E1,Lysimeter 2,0.0
2019-04-15,E1,Lysimeter 2,0.0
2019-04-16,E1,Lysimeter 2,0.0
2019-04-17,E1,Lysimeter 2,0.025
2019-04-18,E1,Lysimeter 2,0.0
2019-04-19,E1,Lysimeter 2,0.0
2019-04-20,E1,Lysimeter 2,0.0
2019-04-21,E1,Lysimeter 2,0.0
2019-04-22,E1,Lysimeter 2,0.0
2019-04-23,E1,Lysimeter 2,0.025
2019-04-24,E1,Lysimeter 2,0.0125
2019-04-25,E1,Lysimeter 2,0.0
2019-04-26,E1,Lysimeter 2,0.03125
2019-04-27,E1,Lysimeter 2,0.0
2019-04-28,E1,Lysimeter 2,0.0
2019-04-29,E1,Lysimeter 2,0.0
2019-04-30,E1,Lysimeter 2,0.0
2019-05-01,E1,Lysimeter 2,0.0
2019-05-02,E1,Lysimeter 2,0.0
2019-05-03,E1,Lysimeter 2,0.0
2019-05-04,E1,Lysimeter 2,0.0
2019-05-05,E1,Lysimeter 2,0.0
2019-05-06,E1,Lysimeter 2,1.3125
2019-05-07,E1,Lysimeter 2,3.4875
2019-05-08,E1,Lysimeter 2,3.19375
2019-05-09,E1,Lysimeter 2,3.14375
2019-05-10,E1,Lysimeter 2,3.16875
2019-05-11,E1,Lysimeter 2,2.925
2019-05-12,E1,Lysimeter 2,2.8375
2019-05-13,E1,Lysimeter 2,2.73125
2019-05-14,E1,Lysimeter 2,2.6125
2019-05-15,E1,Lysimeter 2,
2019-05-16,E1,Lysimeter 2,
2019-05-17,E1,Lysimeter 2,
2019-05-18,E1,Lysimeter 2,
2019-05-19,E1,Lysimeter 2,
2019-05-20,E1,Lysimeter 2,
2019-05-21,E1,Lysimeter 2,
2019-05-22,E1,Lysimeter 2,
2019-05-23,E1,Lysimeter 2,
2019-05-24,E1,Lysimeter 2,
2019-05-25,E1,Lysimeter 2,
2019-05-26,E1,Lysimeter 2,
2019-05-27,E1,Lysimeter 2,
2019-05-28,E1,Lysimeter 2,
2019-05-29,E1,Lysimeter 2,
2019-05-30,E1,Lysimeter 2,
2019-05-31,E1,Lysimeter 2,
2019-06-01,E1,Lysimeter 2,
2019-06-02,E1,Lysimeter 2,
2019-06-03,E1,Lysimeter 2,
2019-06-04,E1,Lysimeter 2,
2019-06-05,E1,Lysimeter 2,
2019-06-06,E1,Lysimeter 2,1.7125
2019-06-07,E1,Lysimeter 2,1.63125
2019-06-08,E1,Lysimeter 2,1.50625
2019-06-09,E1,Lysimeter 2,1.56875
2019-06-10,E1,Lysimeter 2,1.575
2019-06-11,E1,Lysimeter 2,1.3375
2019-06-12,E1,Lysimeter 2,1.1125
2019-06-13,E1,Lysimeter 2,1.06875
2019-06-14,E1,Lysimeter 2,1.05
2019-06-15,E1,Lysimeter 2,0.96875
2019-06-16,E1,Lysimeter 2,0.925
2019-06-17,E1,Lysimeter 2,0.88125
2019-06-18,E1,Lysimeter 2,0.88125
2019-06-19,E1,Lysimeter 2,0.86875
2019-06-20,E1,Lysimeter 2,0.85625
2019-06-21,E1,Lysimeter 2,0.8
2019-06-22,E1,Lysimeter 2,0.775
2019-06-23,E1,Lysimeter 2,0.83125
2019-06-24,E1,Lysimeter 2,0.90625
2019-06-25,E1,Lysimeter 2,1.09375
2019-06-26,E1,Lysimeter 2,1.2375
2019-06-27,E1,Lysimeter 2,1.3625
2019-06-28,E1,Lysimeter 2,0.7
2019-06-29,E1,Lysimeter 2,1.4375
2019-06-30,E1,Lysimeter 2,1.45
2019-07-01,E1,Lysimeter 2,1.4
2019-07-02,E1,Lysimeter 2,1.43125
2019-07-03,E1,Lysimeter 2,1.375
2019-07-04,E1,Lysimeter 2,1.4125
2019-07-05,E1,Lysimeter 2,1.4875
2019-07-06,E1,Lysimeter 2,1.5125
2019-07-07,E1,Lysimeter 2,1.4125
2019-07-08,E1,Lysimeter 2,1.41875
2019-07-09,E1,Lysimeter 2,1.3625
2019-07-10,E1,Lysimeter 2,1.3375
2019-07-11,E1,Lysimeter 2,1.35
2019-07-12,E1,Lysimeter 2,1.2875
2019-07-13,E1,Lysimeter 2,1.21875
2019-07-14,E1,Lysimeter 2,1.15
2019-07-15,E1,Lysimeter 2,1.1125
2019-07-16,E1,Lysimeter 2,1.08125
2019-07-17,E1,Lysimeter 2,1.0125
2019-07-18,E1,Lysimeter 2,0.95625
2019-07-19,E1,Lysimeter 2,0.975
2019-07-20,E1,Lysimeter 2,0.925
2019-07-21,E1,Lysimeter 2,0.85625
2019-07-22,E1,Lysimeter 2,0.7875
2019-07-23,E1,Lysimeter 2,0.79375
2019-07-24,E1,Lysimeter 2,0.725
2019-07-25,E1,Lysimeter 2,0.69375
2019-07-26,E1,Lysimeter 2,0.65625
2019-07-27,E1,Lysimeter 2,0.6625
2019-07-28,E1,Lysimeter 2,0.6625
2019-07-29,E1,Lysimeter 2,0.6125
2019-07-30,E1,Lysimeter 2,0.575
2019-07-31,E1,Lysimeter 2,0.54375
2019-08-01,E1,Lysimeter 2,0.51875
2019-08-02,E1,Lysimeter 2,0.5
2019-08-03,E1,Lysimeter 2,0.5125
2019-08-04,E1,Lysimeter 2,0.48125
2019-08-05,E1,Lysimeter 2,0.44375
2019-08-06,E1,Lysimeter 2,0.45
2019-08-07,E1,Lysimeter 2,0.4375
2019-08-08,E1,Lysimeter 2,0.425
2019-08-09,E1,Lysimeter 2,0.38125
2019-08-10,E1,Lysimeter 2,0.34375
2019-08-11,E1,Lysimeter 2,0.29375
2019-08-12,E1,Lysimeter 2,0.30625
2019-08-13,E1,Lysimeter 2,0.3125
2019-08-14,E1,Lysimeter 2,0.26875
2019-08-15,E1,Lysimeter 2,0.24375
2019-08-16,E1,Lysimeter 2,0.26875
2019-08-17,E1,Lysimeter 2,0.275
2019-08-18,E1,Lysimeter 2,0.26875
2019-08-19,E1,Lysimeter 2,0.28125
2019-08-20,E1,Lysimeter 2,0.2375
2019-08-21,E1,Lysimeter 2,0.26875
2019-08-22,E1,Lysimeter 2,0.29375
2019-08-23,E1,Lysimeter 2,0.23125
2019-08-24,E1,Lysimeter 2,0.2
2019-08-25,E1,Lysimeter 2,0.2
2019-08-26,E1,Lysimeter 2,0.25
2019-08-27,E1,Lysimeter 2,0.29375
2019-08-28,E1,Lysimeter 2,0.30625
2019-08-29,E1,Lysimeter 2,0.30625
2019-08-30,E1,Lysimeter 2,0.275
2019-08-31,E1,Lysimeter 2,0.24375
2019-09-01,E1,Lysimeter 2,0.23125
2019-09-02,E1,Lysimeter 2,0.3375
2019-09-03,E1,Lysimeter 2,0.3125
2019-09-04,E1,Lysimeter 2,0.3375
2019-09-05,E1,Lysimeter 2,0.23125
2019-09-06,E1,Lysimeter 2,0.2625
2019-09-07,E1,Lysimeter 2,0.31875
2019-09-08,E1,Lysimeter 2,0.30625
2019-09-09,E1,Lysimeter 2,0.2375
2019-09-10,E1,Lysimeter 2,0.3
2019-09-11,E1,Lysimeter 2,0.44375
2019-09-12,E1,Lysimeter 2,0.4125
2019-09-13,E1,Lysimeter 2,0.425
2019-09-14,E1,Lysimeter 2,0.55
2019-09-15,E1,Lysimeter 2,0.56875
2019-09-16,E1,Lysimeter 2,0.5625
2019-09-17,E1,Lysimeter 2,0.55625
2019-09-18,E1,Lysimeter 2,0.51875
2019-09-19,E1,Lysimeter 2,0.5375
2019-09-20,E1,Lysimeter 2,0.5625
2019-09-21,E1,Lysimeter 2,0.54375
2019-09-22,E1,Lysimeter 2,0.53125
2019-09-23,E1,Lysimeter 2,0.5625
2019-09-24,E1,Lysimeter 2,0.50625
2019-09-25,E1,Lysimeter 2,0.425
2019-09-26,E1,Lysimeter 2,0.4625
2019-09-27,E1,Lysimeter 2,0.38125
2019-09-28,E1,Lysimeter 2,0.3875
2019-09-29,E1,Lysimeter 2,0.33125
2019-09-30,E1,Lysimeter 2,0.3125
2019-10-01,E1,Lysimeter 2,0.4125
2019-10-02,E1,Lysimeter 2,0.39375
2019-10-03,E1,Lysimeter 2,0.25625
2019-10-04,E1,Lysimeter 2,0.325
2019-10-05,E1,Lysimeter 2,0.25
2019-10-06,E1,Lysimeter 2,0.3
2019-10-07,E1,Lysimeter 2,0.35625
2019-10-08,E1,Lysimeter 2,0.30625
2019-10-09,E1,Lysimeter 2,0.2875
2019-10-10,E1,Lysimeter 2,0.38125
2019-10-11,E1,Lysimeter 2,0.39375
2019-10-12,E1,Lysimeter 2,0.48125
2019-10-13,E1,Lysimeter 2,0.49375
2019-10-14,E1,Lysimeter 2,0.54375
2019-10-15,E1,Lysimeter 2,0.5625
2019-10-16,E1,Lysimeter 2,0.63125
2019-10-17,E1,Lysimeter 2,0.75625
2019-10-18,E1,Lysimeter 2,0.68125
2019-10-19,E1,Lysimeter 2,0.625
2019-10-20,E1,Lysimeter 2,0.7375
2019-10-21,E1,Lysimeter 2,0.79375
2019-10-22,E1,Lysimeter 2,1.1125
2019-10-23,E1,Lysimeter 2,1.56875
2019-10-24,E1,Lysimeter 2,1.84375
2019-10-25,E1,Lysimeter 2,2.0125
2019-10-26,E1,Lysimeter 2,2.1125
2019-10-27,E1,Lysimeter 2,2.13125
2019-10-28,E1,Lysimeter 2,2.1125
2019-10-29,E1,Lysimeter 2,2.01875
2019-10-30,E1,Lysimeter 2,2.08125
2019-10-31,E1,Lysimeter 2,2.4
2019-11-01,E1,Lysimeter 2,2.825
2019-11-02,E1,Lysimeter 2,9.5125
2019-11-03,E1,Lysimeter 2,19.49375
2019-11-04,E1,Lysimeter 2,12.94375
2019-11-05,E1,Lysimeter 2,9.725
2019-11-06,E1,Lysimeter 2,7.3625
2019-11-07,E1,Lysimeter 2,5.8625
2019-11-08,E1,Lysimeter 2,4.8625
2019-11-09,E1,Lysimeter 2,2.35625
2019-11-10,E1,Lysimeter 2,0.0
2019-11-11,E1,Lysimeter 2,3.96875
2019-11-12,E1,Lysimeter 2,1.6875
2019-11-13,E1,Lysimeter 2,0.0
2019-11-14,E1,Lysimeter 2,2.5125
2019-11-15,E1,Lysimeter 2,2.49375
2019-11-16,E1,Lysimeter 2,2.1
2019-11-17,E1,Lysimeter 2,2.03125
2019-11-18,E1,Lysimeter 2,2.0125
2019-11-19,E1,Lysimeter 2,1.875
2019-11-20,E1,Lysimeter 2,1.61875
2019-11-21,E1,Lysimeter 2,1.46875
2019-11-22,E1,Lysimeter 2,1.54375
2019-11-23,E1,Lysimeter 2,0.63125
2019-11-24,E1,Lysimeter 2,0.0
2019-11-25,E1,Lysimeter 2,0.00625
2019-11-26,E1,Lysimeter 2,1.4
2019-11-27,E1,Lysimeter 2,0.83125
2019-11-28,E1,Lysimeter 2,2.0625
2019-11-29,E1,Lysimeter 2,0.71875
2019-11-30,E1,Lysimeter 2,0.0
2019-12-01,E1,Lysimeter 2,0.0
2019-12-02,E1,Lysimeter 2,0.0
2019-12-03,E1,Lysimeter 2,0.0
2019-12-04,E1,Lysimeter 2,0.0
2019-12-05,E1,Lysimeter 2,0.0
2019-12-06,E1,Lysimeter 2,0.0
2019-12-07,E1,Lysimeter 2,0.0
2019-12-08,E1,Lysimeter 2,0.0
2019-12-09,E1,Lysimeter 2,0.0
2019-12-10,E1,Lysimeter 2,16.34375
2019-12-11,E1,Lysimeter 2,1.8875
2019-12-12,E1,Lysimeter 2,0.0
2019-12-13,E1,Lysimeter 2,0.0
2019-12-14,E1,Lysimeter 2,3.1
2019-12-15,E1,Lysimeter 2,2.425
2019-12-16,E1,Lysimeter 2,0.38125
2019-12-17,E1,Lysimeter 2,0.0
2019-12-18,E1,Lysimeter 2,0.0
2019-12-19,E1,Lysimeter 2,0.0
2019-12-20,E1,Lysimeter 2,0.0
2019-12-21,E1,Lysimeter 2,0.0
2019-12-22,E1,Lysimeter 2,0.0
2019-12-23,E1,Lysimeter 2,1.3375
2019-12-24,E1,Lysimeter 2,1.56875
2019-12-25,E1,Lysimeter 2,0.0
2019-12-26,E1,Lysimeter 2,0.0
2019-12-27,E1,Lysimeter 2,0.0
2019-12-28,E1,Lysimeter 2,2.03125
2019-12-29,E1,Lysimeter 2,0.99375
2019-12-30,E1,Lysimeter 2,0.00625
2019-12-31,E1,Lysimeter 2,0.0
2020-01-01,E1,Lysimeter 2,0.00625
2020-01-02,E1,Lysimeter 2,0.0
2020-01-03,E1,Lysimeter 2,0.0
2020-01-04,E1,Lysimeter 2,0.0
2020-01-05,E1,Lysimeter 2,0.0
2020-01-06,E1,Lysimeter 2,0.0
2020-01-07,E1,Lysimeter 2,0.0
2020-01-08,E1,Lysimeter 2,0.0
2020-01-09,E1,Lysimeter 2,0.0
2020-01-10,E1,Lysimeter 2,0.0
2020-01-11,E1,Lysimeter 2,0.0
2020-01-12,E1,Lysimeter 2,0.0
2020-01-13,E1,Lysimeter 2,0.0
2020-01-14,E1,Lysimeter 2,0.0
2020-01-15,E1,Lysimeter 2,0.0
2020-01-16,E1,Lysimeter 2,0.0
2020-01-17,E1,Lysimeter 2,0.0
2020-01-18,E1,Lysimeter 2,0.0
2020-01-19,E1,Lysimeter 2,0.0
2020-01-20,E1,Lysimeter 2,0.0
2020-01-21,E1,Lysimeter 2,0.0
2020-01-22,E1,Lysimeter 2,0.0
2020-01-23,E1,Lysimeter 2,0.0
2020-01-24,E1,Lysimeter 2,0.0
2020-01-25,E1,Lysimeter 2,0.0
2020-01-26,E1,Lysimeter 2,0.0
2020-01-27,E1,Lysimeter 2,0.0
2020-01-28,E1,Lysimeter 2,0.0
2020-01-29,E1,Lysimeter 2,0.0
2020-01-30,E1,Lysimeter 2,0.0
2020-01-31,E1,Lysimeter 2,0.0
2020-02-01,E1,Lysimeter 2,0.0
2020-02-02,E1,Lysimeter 2,0.0
2020-02-03,E1,Lysimeter 2,0.0
2020-02-04,E1,Lysimeter 2,0.00625
2020-02-05,E1,Lysimeter 2,0.0
2020-02-06,E1,Lysimeter 2,0.0
2020-02-07,E1,Lysimeter 2,0.0
2020-02-08,E1,Lysimeter 2,0.0
2020-02-09,E1,Lysimeter 2,0.0
2020-02-10,E1,Lysimeter 2,0.0
2020-02-11,E1,Lysimeter 2,0.0
2020-02-12,E1,Lysimeter 2,0.0
2020-02-13,E1,Lysimeter 2,0.0
2020-02-14,E1,Lysimeter 2,0.0
2020-02-15,E1,Lysimeter 2,0.0
2020-02-16,E1,Lysimeter 2,0.0
2020-02-17,E1,Lysimeter 2,0.0
2020-02-18,E1,Lysimeter 2,0.0
2020-02-19,E1,Lysimeter 2,0.0
2020-02-20,E1,Lysimeter 2,0.0
2020-02-21,E1,Lysimeter 2,0.0
2020-02-22,E1,Lysimeter 2,0.0
2020-02-23,E1,Lysimeter 2,0.0
2020-02-24,E1,Lysimeter 2,0.0
2020-02-25,E1,Lysimeter 2,0.0
2020-02-26,E1,Lysimeter 2,0.0
2020-02-27,E1,Lysimeter 2,0.0
2020-02-28,E1,Lysimeter 2,0.0
2020-02-29,E1,Lysimeter 2,0.0
2020-03-01,E1,Lysimeter 2,0.0
2020-03-02,E1,Lysimeter 2,0.0
2020-03-03,E1,Lysimeter 2,0.0
2020-03-04,E1,Lysimeter 2,0.0
2020-03-05,E1,Lysimeter 2,0.0
2020-03-06,E1,Lysimeter 2,1.6875
2020-03-07,E1,Lysimeter 2,3.83125
2020-03-08,E1,Lysimeter 2,3.725
2020-03-09,E1,Lysimeter 2,4.19375
2020-03-10,E1,Lysimeter 2,3.74375
2020-03-11,E1,Lysimeter 2,2.425
2020-03-12,E1,Lysimeter 2,1.63125
2020-03-13,E1,Lysimeter 2,2.4875
2020-03-14,E1,Lysimeter 2,2.425
2020-03-15,E1,Lysimeter 2,0.0875
2020-03-16,E1,Lysimeter 2,0.05625
2020-03-17,E1,Lysimeter 2,0.63125
2020-03-18,E1,Lysimeter 2,1.65
2020-03-19,E1,Lysimeter 2,1.99375
2020-03-20,E1,Lysimeter 2,2.4125
2020-03-21,E1,Lysimeter 2,0.425
2020-03-22,E1,Lysimeter 2,0.0
2020-03-23,E1,Lysimeter 2,0.11875
2020-03-24,E1,Lysimeter 2,2.55
2020-03-25,E1,Lysimeter 2,1.5125
2020-03-26,E1,Lysimeter 2,2.39375
2020-03-27,E1,Lysimeter 2,2.1625
2020-03-28,E1,Lysimeter 2,1.8625
2020-03-29,E1,Lysimeter 2,2.1375
2020-03-30,E1,Lysimeter 2,2.25
2020-03-31,E1,Lysimeter 2,2.3125
2020-04-01,E1,Lysimeter 2,2.7875
2020-04-02,E1,Lysimeter 2,4.14375
2020-04-03,E1,Lysimeter 2,4.8125
2020-04-04,E1,Lysimeter 2,5.13125
2020-04-05,E1,Lysimeter 2,5.75
2020-04-06,E1,Lysimeter 2,6.0875
2020-04-07,E1,Lysimeter 2,6.05625
2020-04-08,E1,Lysimeter 2,5.75
2020-04-09,E1,Lysimeter 2,5.425
2020-04-10,E1,Lysimeter 2,4.825
2020-04-11,E1,Lysimeter 2,4.4125
2020-04-12,E1,Lysimeter 2,4.15625
2020-04-13,E1,Lysimeter 2,4.00625
2020-04-14,E1,Lysimeter 2,3.86875
2020-04-15,E1,Lysimeter 2,3.85625
2020-04-16,E1,Lysimeter 2,3.9125
2020-04-17,E1,Lysimeter 2,3.9
2020-04-18,E1,Lysimeter 2,3.025
2020-04-19,E1,Lysimeter 2,3.79375
2020-04-20,E1,Lysimeter 2,3.53125
2020-04-21,E1,Lysimeter 2,2.79375
2020-04-22,E1,Lysimeter 2,3.10625
2020-04-23,E1,Lysimeter 2,2.325
2020-04-24,E1,Lysimeter 2,0.85625
2020-04-25,E1,Lysimeter 2,1.73125
2020-04-26,E1,Lysimeter 2,2.1625
2020-04-27,E1,Lysimeter 2,2.10625
2020-04-28,E1,Lysimeter 2,2.20625
2020-04-29,E1,Lysimeter 2,1.83125
2020-04-30,E1,Lysimeter 2,1.9
2020-05-01,E1,Lysimeter 2,1.7375
2020-05-02,E1,Lysimeter 2,1.53125
2020-05-03,E1,Lysimeter 2,1.50625
2020-05-04,E1,Lysimeter 2,1.35
2020-05-05,E1,Lysimeter 2,1.275
2020-05-06,E1,Lysimeter 2,1.2375
2020-05-07,E1,Lysimeter 2,1.125
2020-05-08,E1,Lysimeter 2,0.9875
2020-05-09,E1,Lysimeter 2,1.0875
2020-05-10,E1,Lysimeter 2,0.875
2020-05-11,E1,Lysimeter 2,0.95
2020-05-12,E1,Lysimeter 2,0.7625
2020-05-13,E1,Lysimeter 2,0.66875
2020-05-14,E1,Lysimeter 2,0.83125
2020-05-15,E1,Lysimeter 2,0.73125
2020-05-16,E1,Lysimeter 2,0.66875
2020-05-17,E1,Lysimeter 2,0.84375
2020-05-18,E1,Lysimeter 2,0.73125
2020-05-19,E1,Lysimeter 2,0.7125
2020-05-20,E1,Lysimeter 2,0.64375
2020-05-21,E1,Lysimeter 2,0.65
2020-05-22,E1,Lysimeter 2,0.6
2020-05-23,E1,Lysimeter 2,0.5875
2020-05-24,E1,Lysimeter 2,0.65625
2020-05-25,E1,Lysimeter 2,0.5125
2020-05-26,E1,Lysimeter 2,0.50625
2020-05-27,E1,Lysimeter 2,0.4375
2020-05-28,E1,Lysimeter 2,0.45625
2020-05-29,E1,Lysimeter 2,0.46875
2020-05-30,E1,Lysimeter 2,0.81875
2020-05-31,E1,Lysimeter 2,0.56875
2020-06-01,E1,Lysimeter 2,0.49375
2020-06-02,E1,Lysimeter 2,0.24375
2020-06-03,E1,Lysimeter 2,0.5875
2020-06-04,E1,Lysimeter 2,0.23125
2020-06-05,E1,Lysimeter 2,0.3625
2020-06-06,E1,Lysimeter 2,0.3
2020-06-07,E1,Lysimeter 2,0.38125
2020-06-08,E1,Lysimeter 2,0.6125
2020-06-09,E1,Lysimeter 2,0.34375
2020-06-10,E1,Lysimeter 2,0.31875
2020-06-11,E1,Lysimeter 2,0.325
2020-06-12,E1,Lysimeter 2,0.19375
2020-06-13,E1,Lysimeter 2,0.04375
2020-06-14,E1,Lysimeter 2,0.6125
2020-06-15,E1,Lysimeter 2,0.24375
2020-06-16,E1,Lysimeter 2,0.36875
2020-06-17,E1,Lysimeter 2,0.075
2020-06-18,E1,Lysimeter 2,
2020-06-19,E1,Lysimeter 2,
2020-06-20,E1,Lysimeter 2,
2020-06-21,E1,Lysimeter 2,
2020-06-22,E1,Lysimeter 2,
2020-06-23,E1,Lysimeter 2,
2020-06-24,E1,Lysimeter 2,
2020-06-25,E1,Lysimeter 2,
2020-06-26,E1,Lysimeter 2,0.03125
2020-06-27,E1,Lysimeter 2,0.04375
2020-06-28,E1,Lysimeter 2,0.04375
2020-06-29,E1,Lysimeter 2,0.56875
2020-06-30,E1,Lysimeter 2,0.2
2020-07-01,E1,Lysimeter 2,0.025
2020-07-02,E1,Lysimeter 2,0.025
2020-07-03,E1,Lysimeter 2,0.0
2020-07-04,E1,Lysimeter 2,0.0125
2020-07-05,E1,Lysimeter 2,0.00625
2020-07-06,E1,Lysimeter 2,0.00625
2020-07-07,E1,Lysimeter 2,0.025
2020-07-08,E1,Lysimeter 2,0.01875
2020-07-09,E1,Lysimeter 2,0.025
2020-07-10,E1,Lysimeter 2,0.025
2020-07-11,E1,Lysimeter 2,0.06875
2020-07-12,E1,Lysimeter 2,0.025
